COD_CLIENTE;CLIENTE;PORTFOLIO;DATAPOS;CATEGORIA;CODIGO;PAPEL;DATACOMPRA;DATAEMISSAO;DATAVCTO;EMISSOR;QTDE_DISP;QTDE_BLOQ;QTDE_TOTAL;PRECO_CUSTO;PRECO;CUSTO_TOTAL;RESULTADO;VALOR_MERC_BRUTO;IRRF;VALOR_MERC_LIQUIDO;AJUSTE_FUT_SWAP;CONTRAPARTE;CUSTODIANTE;CORRETORA;TIPO;PRECO_EXERCICIO;PRINCIPAL;BASE_ATIVO;PC_INDEX_ATIVO;INDEX_ATIVO;PC_TX_ATIVO;TAXA_MTM;CURVA_ATIVO;VALOR_ATIVO;GARANTIA_ATIVO;BASE_PASSIVO;PC_INDEX_PASSIVO;INDEX_PASSIVO;PC_TAXA_PASSIVO;TAXA_MTM_PASSIVO;CURVA_PASSIVO;VALOR_PASSIVO;GARANTIA_PASSIVO;TIT_ASSOC;CODIGO_OPER;VL_FUTURO_ATIVO;VL_FUTURO_PASSIVO;MTM_ACCRUAL;INDEX_ATIVO_PASSIVO;LASTRO;TAXA_OVER;PU_CURVA;TAXA_PAR;AGIO_DESAGIO;DATA_REPAC;VALOR_NOMINAL;TIR;COVERAGECCY;PATRIM_LIQUIDO
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;CUST0248;BRAD FIRF FEF ATU BD;;;;;93435480,69;0;93435480,69;0;6,05280261;0;565546521,4;565546521,4;0;565546521,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565545104,4
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;20-08-2024;CONTAS A PAGAR/RECEBER;158;Despesa de Custo CETIP com pagamento 06/09/24;;20-08-2024;06-09-2024;;;;;;;;;;;-1669,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565545104,4
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;20-08-2024;TESOURARIA;;;;;;;;;;;;;;;;252,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565545104,4
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;20-08-2024;PATRIMONIO LIQUIDO;;;;;;;417106,2206;;;;1355,877895;;;;;565545104,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565545104,4
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;TFBB0010;ALM BD FIRF;;;;;21076429,77;0;21076429,77;0;40,32630383;0;849934510,6;849934510,6;0;849934510,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;TFML0901;ENNESA FIA;;;;;2433765,423;0;2433765,423;0;12,18023283;0;29643829,5;29643829,5;0;29643829,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;CUST0970;SULAM NEOS FIM CP;;;;;1330581,415;0;1330581,415;18,69595631;25,87580687;24876492;9553375,72;34429867,72;0;34429867,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;TFBS0725;FII PANAMBY;;;;;14975;0;14975;0;-25,20595222;0;-377459,13;-377459,13;0;-377459,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;TFBR0354;VINCI FI RF IMOBI II;;;;;100000;0;100000;11,2356857;118,7356426;1123568,57;10749995,69;11873564,26;0;11873564,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;20-08-2024;COTAS DE FDOS DE INVESTIMENTOS;TFBV0001;FII GEO GUARARAPES;;;;;2516600;0;2516600;0,096588997;0,12726;243075,87;77186,65;320262,52;0;320262,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934846744,1
